id,bucket,failure_types,gold_track,pred_track,protocol_gate_accepted,user_message,gold_output,predicted_output
tp_ambiguous_all_null_val_000,ambiguous_all_null,protocol_gate_reject,all_null,all_null,False,门锁密码能帮我弄一下吗,"{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_ambiguous_all_null_val_001,ambiguous_all_null,protocol_gate_reject,all_null,all_null,False,随便吧，你看着弄一下门锁,"{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_ambiguous_all_null_val_003,ambiguous_all_null,protocol_gate_reject,all_null,all_null,False,这个能不能先帮我处理一下，门锁密码那边我有点拿不准。,"{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_ambiguous_all_null_val_004,ambiguous_all_null,protocol_gate_reject,all_null,all_null,False,能不能先帮我处理一下，顺手把门锁密码重置了,"{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_ambiguous_all_null_val_005,ambiguous_all_null,protocol_gate_reject,all_null,all_null,False,这事你先帮我看看，门锁那边先处理一下,"{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_000,work_order_read_only_task,track_mismatch,task,knowledge,True,想问一下卫生间排风异常这单现在是怎么收费的,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""work_order_status_query""}, {""command"": ""set_slots"", ""slots"": {""work_order_id"": ""WO20260601005""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""work_order_info""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_001,work_order_read_only_task,track_mismatch,task,knowledge,True,这单费用怎么算的？,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""service_progress_tracking""}, {""command"": ""set_slots"", ""slots"": {""work_order_id"": ""WO20260601006""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""work_order_info""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_002,work_order_read_only_task,track_mismatch,task,knowledge,True,我想知道门禁卡补办具体是怎么操作的，详细说一下吧。,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""service_item_detail_query""}, {""command"": ""set_slots"", ""slots"": {""service_item_id"": ""SVC2003""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""service_item_info""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_004,work_order_read_only_task,"track_mismatch, protocol_gate_reject",task,knowledge,False,请问现在有哪些服务可以预约？能详细说说吗？,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""resident_service_items_list_query""}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""resident_service_items_list_query""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_005,work_order_read_only_task,track_mismatch,task,knowledge,True,我想看看宠物管理这块的规定,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""resident_rule_qa""}, {""command"": ""set_slots"", ""slots"": {""rule_topic"": ""宠物管理""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""pet_rule""]}, ""chitchat"": null, ""directive"": null}"
